id,title,culture,theme,period,dateStart,dateEnd,site,region,currentMuseum,lat,lng,locationPrecision,imageUrl,image_photographer,image_license,image_licenseUrl,image_sourceUrl,sourceCitation,description
knossos-wall-painting-of-the-saffron-gatherer-from-knossos-room-of-the-saffron-gatherer-heraklion-am-01,Wall painting of the Saffron Gatherer from Knossos (room of the saffron gatherer) - Heraklion AM - 01,Minoan,Animal,Middle Bronze Age,,,Knossos,Crete,Heraklion Archaeological Museum,35.29658,25.16455,approximate,https://commons.wikimedia.org/wiki/Special:FilePath/Wall_painting_of_the_Saffron_Gatherer_from_Knossos_%28room_of_the_saffron_gatherer%29_-_Heraklion_AM_-_01.jpg?width=400,ArchaiOptix,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,https://commons.wikimedia.org/wiki/File:Wall_painting_of_the_Saffron_Gatherer_from_Knossos_%28room_of_the_saffron_gatherer%29_-_Heraklion_AM_-_01.jpg,,Wall painting of the Saffron Gatherer from Knossos (room of the saffron gatherer) - Heraklion AM - 01
knossos-wall-painting-of-the-saffron-gatherer-from-knossos-room-of-the-saffron-gatherer-heraklion-am-02,Wall painting of the Saffron Gatherer from Knossos (room of the saffron gatherer) - Heraklion AM - 02,Minoan,Animal,Middle Bronze Age,,,Knossos,Crete,Heraklion Archaeological Museum,35.29898,25.16447,approximate,https://commons.wikimedia.org/wiki/Special:FilePath/Wall_painting_of_the_Saffron_Gatherer_from_Knossos_%28room_of_the_saffron_gatherer%29_-_Heraklion_AM_-_02.jpg?width=400,ArchaiOptix,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,https://commons.wikimedia.org/wiki/File:Wall_painting_of_the_Saffron_Gatherer_from_Knossos_%28room_of_the_saffron_gatherer%29_-_Heraklion_AM_-_02.jpg,,Wall painting of the Saffron Gatherer from Knossos (room of the saffron gatherer) - Heraklion AM - 02
knossos-wall-painting-of-monkeys-in-a-landscape-from-knossos-house-of-the-frescoes-heraklion-am-01,Wall painting of monkeys in a landscape from Knossos (House of the Frescoes) - Heraklion AM - 01,Minoan,Animal,Middle Bronze Age,,,Knossos,Crete,Heraklion Archaeological Museum,35.29935,25.16273,approximate,https://commons.wikimedia.org/wiki/Special:FilePath/Wall_painting_of_monkeys_in_a_landscape_from_Knossos_%28House_of_the_Frescoes%29_-_Heraklion_AM_-_01.jpg?width=400,ArchaiOptix,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,https://commons.wikimedia.org/wiki/File:Wall_painting_of_monkeys_in_a_landscape_from_Knossos_%28House_of_the_Frescoes%29_-_Heraklion_AM_-_01.jpg,,Wall painting of monkeys in a landscape from Knossos (House of the Frescoes) - Heraklion AM - 01
knossos-wall-painting-of-monkeys-in-a-landscape-from-knossos-house-of-the-frescoes-heraklion-am-02,Wall painting of monkeys in a landscape from Knossos (House of the Frescoes) - Heraklion AM - 02,Minoan,Animal,Middle Bronze Age,,,Knossos,Crete,Heraklion Archaeological Museum,35.29812,25.16353,approximate,https://commons.wikimedia.org/wiki/Special:FilePath/Wall_painting_of_monkeys_in_a_landscape_from_Knossos_%28House_of_the_Frescoes%29_-_Heraklion_AM_-_02.jpg?width=400,ArchaiOptix,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,https://commons.wikimedia.org/wiki/File:Wall_painting_of_monkeys_in_a_landscape_from_Knossos_%28House_of_the_Frescoes%29_-_Heraklion_AM_-_02.jpg,,Wall painting of monkeys in a landscape from Knossos (House of the Frescoes) - Heraklion AM - 02
knossos-wall-painting-of-monkeys-in-a-landscape-from-knossos-house-of-the-frescoes-heraklion-am-03,Wall painting of monkeys in a landscape from Knossos (House of the Frescoes) - Heraklion AM - 03,Minoan,Animal,Middle Bronze Age,,,Knossos,Crete,Heraklion Archaeological Museum,35.2971,25.16397,approximate,https://commons.wikimedia.org/wiki/Special:FilePath/Wall_painting_of_monkeys_in_a_landscape_from_Knossos_%28House_of_the_Frescoes%29_-_Heraklion_AM_-_03.jpg?width=400,ArchaiOptix,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,https://commons.wikimedia.org/wiki/File:Wall_painting_of_monkeys_in_a_landscape_from_Knossos_%28House_of_the_Frescoes%29_-_Heraklion_AM_-_03.jpg,,Wall painting of monkeys in a landscape from Knossos (House of the Frescoes) - Heraklion AM - 03
knossos-wall-painting-of-monkeys-in-a-landscape-from-knossos-house-of-the-frescoes-heraklion-am-04,Wall painting of monkeys in a landscape from Knossos (House of the Frescoes) - Heraklion AM - 04,Minoan,Animal,Middle Bronze Age,,,Knossos,Crete,Heraklion Archaeological Museum,35.29746,25.16208,approximate,https://commons.wikimedia.org/wiki/Special:FilePath/Wall_painting_of_monkeys_in_a_landscape_from_Knossos_%28House_of_the_Frescoes%29_-_Heraklion_AM_-_04.jpg?width=400,ArchaiOptix,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,https://commons.wikimedia.org/wiki/File:Wall_painting_of_monkeys_in_a_landscape_from_Knossos_%28House_of_the_Frescoes%29_-_Heraklion_AM_-_04.jpg,,Wall painting of monkeys in a landscape from Knossos (House of the Frescoes) - Heraklion AM - 04
knossos-wall-painting-of-griffins-and-athletes-from-knossos-east-corridor-heraklion-am,Wall painting of griffins and athletes from Knossos (East Corridor) - Heraklion AM,Minoan,Animal,Middle Bronze Age,,,Knossos,Crete,Heraklion Archaeological Museum,35.29882,25.16185,approximate,https://commons.wikimedia.org/wiki/Special:FilePath/Wall_painting_of_griffins_and_athletes_from_Knossos_%28East_Corridor%29_-_Heraklion_AM.jpg?width=400,ArchaiOptix,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,https://commons.wikimedia.org/wiki/File:Wall_painting_of_griffins_and_athletes_from_Knossos_%28East_Corridor%29_-_Heraklion_AM.jpg,,Wall painting of griffins and athletes from Knossos (East Corridor) - Heraklion AM
knossos-wall-painting-of-three-women-ladies-in-blue-from-knossos-outside-royal-magazines-heraklion-am,Wall painting of three women (Ladies in Blue) from Knossos (outside Royal Magazines) - Heraklion AM,Minoan,Animal,Middle Bronze Age,,,Knossos,Crete,Heraklion Archaeological Museum,35.29872,25.16213,approximate,https://commons.wikimedia.org/wiki/Special:FilePath/Wall_painting_of_three_women_%28Ladies_in_Blue%29_from_Knossos_%28outside_Royal_Magazines%29_-_Heraklion_AM.jpg?width=400,ArchaiOptix,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,https://commons.wikimedia.org/wiki/File:Wall_painting_of_three_women_%28Ladies_in_Blue%29_from_Knossos_%28outside_Royal_Magazines%29_-_Heraklion_AM.jpg,,Wall painting of three women (Ladies in Blue) from Knossos (outside Royal Magazines) - Heraklion AM
knossos-wall-painting-of-grandstand-or-sacred-grove-and-shrine-from-knossos-north-end-of-central-court-heraklion-am-01,Wall painting of grandstand or sacred grove and shrine from Knossos (north end of central court) - Heraklion AM - 01,Minoan,Animal,Middle Bronze Age,,,Knossos,Crete,Heraklion Archaeological Museum,35.2982,25.16327,approximate,https://commons.wikimedia.org/wiki/Special:FilePath/Wall_painting_of_grandstand_or_sacred_grove_and_shrine_from_Knossos_%28north_end_of_central_court%29_-_Heraklion_AM_-_01.jpg?width=400,ArchaiOptix,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,https://commons.wikimedia.org/wiki/File:Wall_painting_of_grandstand_or_sacred_grove_and_shrine_from_Knossos_%28north_end_of_central_court%29_-_Heraklion_AM_-_01.jpg,,Wall painting of grandstand or sacred grove and shrine from Knossos (north end of central court) - Heraklion AM - 01
knossos-wall-painting-of-grandstand-or-sacred-grove-and-shrine-from-knossos-north-end-of-central-court-heraklion-am-02,Wall painting of grandstand or sacred grove and shrine from Knossos (north end of central court) - Heraklion AM - 02,Minoan,Animal,Middle Bronze Age,,,Knossos,Crete,Heraklion Archaeological Museum,35.29867,25.16443,approximate,https://commons.wikimedia.org/wiki/Special:FilePath/Wall_painting_of_grandstand_or_sacred_grove_and_shrine_from_Knossos_%28north_end_of_central_court%29_-_Heraklion_AM_-_02.jpg?width=400,ArchaiOptix,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,https://commons.wikimedia.org/wiki/File:Wall_painting_of_grandstand_or_sacred_grove_and_shrine_from_Knossos_%28north_end_of_central_court%29_-_Heraklion_AM_-_02.jpg,,Wall painting of grandstand or sacred grove and shrine from Knossos (north end of central court) - Heraklion AM - 02
